from,to,weight,relation
Busquets,Martinez,0,no
Busquets,Navas,0,no
Busquets,Alonso,0,no
Busquets,Xavi,2,yes
Busquets,Villa,0,no
Busquets,Torres,0,no
Busquets,Llorrente,0,no
Busquets,Mata,0,no
Busquets,Pedro,2,yes
Fábregas,Silva,0,no
Fábregas,Iniesta,0,no
Fábregas,Martinez,0,no
Fábregas,Navas,0,no
Fábregas,Alonso,0,no
Fábregas,Xavi,0,no
Fábregas,Villa,0,no
Fábregas,Torres,0,no
Fábregas,Llorrente,0,no
Fábregas,Mata,0,no
Fábregas,Pedro,0,no
Silva,Iniesta,0,no
Silva,Martinez,0,no
Silva,Navas,0,no
Silva,Alonso,0,no
Silva,Xavi,0,no
Silva,Villa,4,yes
Silva,Torres,0,no
Silva,Llorrente,0,no
Silva,Mata,3,yes
Silva,Pedro,0,no
Iniesta,Martinez,0,no
Iniesta,Navas,0,no
Iniesta,Alonso,0,no
Iniesta,Xavi,10,yes
Iniesta,Villa,0,no
Iniesta,Torres,0,no
Iniesta,Llorrente,0,no
Iniesta,Mata,0,no
Iniesta,Pedro,3,yes
Martinez,Navas,0,no
Martinez,Alonso,0,no
Martinez,Xavi,0,no
Martinez,Villa,0,no
Martinez,Torres,0,no
Martinez,Llorrente,6,yes
Martinez,Mata,0,no
Martinez,Pedro,0,no
Navas,Alonso,0,no
Navas,Xavi,0,no
Navas,Villa,0,no
Navas,Torres,0,no
Navas,Llorrente,0,no
Navas,Mata,0,no
Navas,Pedro,0,no
Alonso,Xavi,0,no
Alonso,Villa,0,no
Alonso,Torres,2,no
Alonso,Llorrente,0,no
Alonso,Mata,0,no
Alonso,Pedro,0,no
Xavi,Villa,0,no
Xavi,Torres,0,no
Xavi,Llorrente,0,no
Xavi,Mata,0,no
Xavi,Pedro,3,yes
Villa,Torres,0,no
Villa,Llorrente,0,no
Villa,Mata,3,yes
Villa,Pedro,0,no
Torres,Llorrente,0,no
Torres,Mata,0,no
Torres,Pedro,0,no
Llorrente,Mata,0,no
Llorrente,Pedro,0,no
Mata,Pedro,0,no
